model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration;time value
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;3;no-mask;7,0568401140084465;7,188537409764254;0,8893001604426727;0,8841853193011093;TAA;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;3;no-mask;10,119792785410922;7,502780729580021;1,329825140755754;1,0958940391128131;TAA;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;4;no-mask;6,3621908957651865;6,83547989513934;0,5949005787195463;0,7268491144251057;TAA;durations
AllSelfCrossAttentionModelTFG;env_permit;0;no-mask;2,2722366327857015;2,9252169375419617;0,15917170119340668;0,31180706930033547;TAT;durations
AllSelfCrossAttentionModelTFG;env_permit;0;no-mask;2,759366783575008;2,8469323734045027;0,19510277073551202;0,3776983883827925;TAT;times+durations
AllSelfCrossAttentionModelTFG;env_permit;1;no-mask;3,5836788652395977;3,513096145288212;0,5680737543303008;0,6019763517837003;TAT;durations
AllSelfCrossAttentionModelTFG;env_permit;1;no-mask;2,290321856480124;3,694575691786338;0,5120590116497746;0,4531327164294222;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;4;no-mask;6,371863251681836;6,991462012324158;0,5083066733290462;0,6663224288780878;TAA;times+durations
AllSelfCrossAttentionModelTFG;env_permit;2;no-mask;2,3501379985810806;3,0646061268887776;0,6549623299263636;0,5267190148973269;TAT;durations
AllSelfCrossAttentionModelTFG;env_permit;2;no-mask;2,180205544523824;3,0569596623265465;0,6164148919894405;0,5095078915969027;TAT;times+durations
AllSelfCrossAttentionModelTFG;env_permit;3;no-mask;2,3708024810078325;2,538357471506442;0,13044202287316717;0,30962102777595;TAT;durations
AllSelfCrossAttentionModelTFG;env_permit;3;no-mask;1,6254404307740298;2,403348921768127;0,10366537872633544;0,24606062459745226;TAT;times+durations
AllSelfCrossAttentionModelTFG;env_permit;4;no-mask;2,653331161801374;3,9613704604487263;0,6191456464074284;0,5645758477792562;TAT;durations
AllSelfCrossAttentionModelTFG;env_permit;4;no-mask;2,647044187027157;3,7681988134018836;0,5796244151071406;0,5496084868814359;TAT;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;0;no-mask;4,361828461729024;4,095353029691256;0,1778772592697388;0,3547115351819345;TAT;durations
AllSelfCrossAttentionModelTFG;Helpdesk;0;no-mask;2,501032317278072;3,791348288609431;0,062086008645918615;0,21764070567322352;TAT;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;1;no-mask;2,833388209314309;4,216879273053282;0,07166327350581457;0,23591271805194372;TAT;durations
AllSelfCrossAttentionModelTFG;Helpdesk;1;no-mask;2,550392617960454;3,712853210683195;0,05682047941878367;0,20914950572627466;TAT;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;2;no-mask;2,472825632869475;3,963245607226904;0,06785009724167236;0,2213762200324846;TAT;durations
AllSelfCrossAttentionModelTFG;Helpdesk;2;no-mask;2,5749035076663476;3,8252735615142286;0,07298639604716581;0,22958250417981624;TAT;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;3;no-mask;3,1649774911721464;4,0814915981132325;0,09205655505896881;0,276358049941494;TAT;durations
AllSelfCrossAttentionModelTFG;Helpdesk;3;no-mask;3,145740748747022;3,7835819305629905;0,09125610820496399;0,28485041856283244;TAT;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;4;no-mask;2,328712979937306;4,025764996961037;0,06092514981723095;0,20015752188870864;TAT;durations
AllSelfCrossAttentionModelTFG;Helpdesk;4;no-mask;2,5278323669962526;3,9415796761927395;0,0635823537760997;0,21681889594503032;TAT;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;0;no-mask;49,8749786698762;30,781534121061366;1,7208788771310106;1,264479810484518;TAT;durations
AllSelfCrossAttentionModelTFG;SEPSIS;0;no-mask;48,03639776038534;30,682799474646647;1,6767051974475313;1,2545260404390075;TAT;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;1;no-mask;32,10616870121765;29,768981350434792;0,5319029890433646;0,7047637523300249;TAT;durations
AllSelfCrossAttentionModelTFG;SEPSIS;1;no-mask;32,323616134676705;30,294781435717333;0,5249746303189902;0,7001895194727064;TAT;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;2;no-mask;15,21162216955405;29,180914856493473;0,2434038708507241;0,3575032988186013;TAT;durations
AllSelfCrossAttentionModelTFG;SEPSIS;2;no-mask;9,100180725877964;28,76699824688526;0,2048027179664591;0,2538259380320301;TAT;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;3;no-mask;16,132142547593872;25,371848630433036;0,44635273134645753;0,5095260682413216;TAT;durations
AllSelfCrossAttentionModelTFG;SEPSIS;3;no-mask;33,78078278022052;29,249929275843176;0,9742552920607496;0,8909338828530349;TAT;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;4;no-mask;21,380718454980965;24,236427253392076;0,5043338735621267;0,6333808543317773;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;0;no-mask;57,04507288371475;88,28717003979729;0,2640592011870326;0,41618004596956426;TAT;durations
AllSelfCrossAttentionModelTFG;SEPSIS;4;no-mask;21,905623748577977;25,537455644014585;0,5290970318924054;0,6663746960358404;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;0;no-mask;74,21263690391211;90,11071942616435;0,3220456565624054;0,5064051482645632;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;1;no-mask;60,28855850114709;86,7313838050479;0,28680779273021295;0,44110035172308837;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;1;no-mask;59,558692728053956;82,62803715297154;0,2845836937215132;0,45101143518196685;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;2;no-mask;48,278247107591376;88,76369088490804;0,3152912219160243;0,4343423404490564;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;2;no-mask;77,80911602851944;98,00954990386963;0,42096443348745993;0,5808112350804611;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;3;no-mask;88,12938504689794;99,41562439413632;0,5657953016522947;0,6721698376856495;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;3;no-mask;102,59831765609832;105,50194974039115;0,6336825576230871;0,7201550489041608;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;4;no-mask;47,98856727345424;76,15501168370247;0,256382011778822;0,40664275857182497;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;4;no-mask;51,779515137545985;82,8470545609792;0,25901715228879546;0,4097089047078043;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;0;no-mask;24,588700988703305;10,701468305025266;1,1535200080111307;0,9563504620425276;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;0;no-mask;26,476434915271174;10,492137872521237;1,3928627347593012;1,0199838664499885;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;1;no-mask;8,783994639999033;9,08795985189896;0,2591428878812079;0,43366125226883057;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;1;no-mask;9,94376548987546;10,351787566805685;0,3252951004850382;0,48496759537549466;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;2;no-mask;13,554312086384115;9,783562868536508;0,33617367002785814;0,5332936510007998;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;2;no-mask;16,412390349475267;9,770822022114348;0,3998750301540202;0,5866236281587971;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;3;no-mask;18,852200160066552;12,277097051300235;2,097494468525679;1,2926738066555707;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;3;no-mask;17,043574168806444;12,40337703579058;1,8104472590962313;1,1736933270134136;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;4;no-mask;33,81773282669708;10,600098166054329;4,5606656038075855;1,6268419491523525;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;4;no-mask;72,80422980127716;11,053230768283912;8,964829679323968;2,7154220179099218;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,2123664194608987;4,720384362696062;0,34875461003467434;0,41839598900321884;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,2941190346452816;4,8055321612065525;0,3475533709678538;0,42058507410558243;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,3349336878469615;4,828075434378916;0,4280179633502756;0,4713253644298247;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,178727955508637;4,72905495740223;0,41770011822162567;0,45769341357892723;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;3,418379711923595;4,921411639445578;0,4027387021600059;0,45846825835581045;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;3,2414392445068687;4,800633104768143;0,3831406080639681;0,43631809059049415;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,216908084987353;4,763491535212853;0,3444835671778063;0,4160212710063529;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,5635482269523027;5,031886164808169;0,37893252323041576;0,4639461454660049;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,266867150820633;4,789415936864824;0,37130430154121574;0,4354153286382637;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,2156819485707344;4,7266237153526;0,373235452789528;0,4377588127242236;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;5,963259282682083;6,472710501016107;0,5856479676940359;0,715628756333336;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;5,29329418744873;5,465341235233458;0,5017515939339792;0,6527250263648557;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;4,949679920906211;5,84996349610698;0,47174021599612787;0,6412230271321216;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;4,808172727904717;6,020564087892779;0,4573195961172825;0,6086580972379478;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;4,838457210686535;5,281897408222513;0,36362317712174835;0,5358061047582721;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;5,3811917008482855;5,087656693533063;0,5847903628533112;0,6306637040161669;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;4,851001613703289;5,667171239595989;0,5048828247044571;0,6515938250001403;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;4,613597192739447;5,612144231796265;0,491199384466055;0,6369541494458801;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;5,024445409171829;5,2911827315664075;0,4468610402903719;0,6140358192181794;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;5,671602313763007;5,190256753042674;0,5894782788870048;0,6741439521428607;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;0;no-mask;4,599417975245368;6,597693490259046;0,32552472551183886;0,5250743407692384;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;0;no-mask;5,400131668340232;6,679763175003556;0,36243859706895093;0,58171547237638;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;1;no-mask;6,481119514097724;7,270090956397815;0,5820228855249571;0,7399900256499201;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;1;no-mask;6,882849814222178;7,158195251047577;0,635300387113526;0,7814895976073519;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;2;no-mask;7,818793566376724;6,9521503328199845;0,833842346437314;0,883689756190932;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;2;no-mask;6,2905056297509585;6,9077457864814225;0,6865809557693267;0,761158382402312;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;3;no-mask;4,639674494747339;6,943027660325478;0,4053522203532828;0,569231251300217;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;3;no-mask;5,463056021371394;6,927493279730506;0,5069539073287649;0,6710691831830823;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;4;no-mask;7,23713150840538;6,865084358749704;0,8183409552140852;0,8269957756931551;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012;4;no-mask;7,3571895051126335;6,7437066593707575;0,7692215109074059;0,8031108874308799;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,2047441518924455;4,7307226847781045;0,3474443237901142;0,4158307272960332;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,4239162585467624;4,913872511317579;0,35593877454729184;0,4363957054610188;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,2194308968747887;4,788369755961913;0,4124547490352209;0,45398975132893116;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,2906109384878235;4,878718481032846;0,40805208901266515;0,45829221485727006;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;3,180081445834558;4,6830503807896315;0,41395975293066306;0,44979056116530886;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;3,257692287724184;4,785515087151502;0,39597971986609504;0,4523418317488455;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,229254828322054;4,7614708111114;0,3613389802204462;0,4343732068199832;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,2921313562795635;4,791235990675586;0,35494532448886706;0,44889971273100976;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,346456863540662;4,844596825017641;0,3782769768303716;0,4468440104552133;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,5334058230275374;5,00469855567141;0,4044452077125309;0,4841851472788489;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;0;no-mask;4,056228571191519;6,251177592733042;0,3000282126012976;0,49628074136682654;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;0;no-mask;3,69364147217924;6,0763810438246155;0,2854681932185324;0,48188794747172736;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;1;no-mask;5,026616942805559;6,5753138064537;0,4873519745853265;0,6649612181574828;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;1;no-mask;5,083148537863756;6,656210302345214;0,5619217747858867;0,7027531920094472;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;2;no-mask;5,278491704023723;6,296469289734927;0,5044600166272524;0,668838084544024;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;2;no-mask;6,480222192903096;6,366281700272092;0,6439633800080835;0,7763583333114408;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;3;no-mask;4,8540615782804615;6,256294971073182;0,4229824676366659;0,6057826304250095;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;3;no-mask;4,539437254710335;6,408965599285469;0,3847375802361592;0,5804598807881974;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;4;no-mask;5,625892819732518;6,231944979950083;0,5551668349089325;0,6837616485189175;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;4;no-mask;5,537679474667813;6,117480330915263;0,583657516013276;0,7024963376219864;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;4,924158590281024;5,688393398494384;0,4626185720329135;0,6235230296728748;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;5,656283753381744;6,052149423042406;0,5289285308710191;0,6793261952469144;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;4,667651613786328;5,799248636942724;0,43648327470239856;0,600041270772282;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;4,605718025149791;5,722391151755852;0,4689972116361968;0,6191654198394396;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;4,325479817016804;5,275562032525029;0,31345110416400424;0,5085556523851882;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;4,3115504338444826;5,332476733252406;0,2809445955035439;0,46844742864608024;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;4,5915391573591435;6,09065459540178;0,5499943140880376;0,6640798651073703;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;5,126698848667779;5,462112702943128;0,4982106987688539;0,6545121963020821;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;5,450966688888273;5,240315001908974;0,596797410081624;0,6885210897235801;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;4,944089305275837;5,23819575903127;0,47720035148969064;0,6372407982017989;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;0;no-mask;8,93310739920678;7,369147746195705;1,0867922882372438;0,9889665934135838;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;0;no-mask;10,746876839117752;7,470462472644753;1,3621792578655127;1,1264815883622743;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;1;no-mask;6,784501180506095;7,300165765600451;0,5566865996204506;0,7320730541646917;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;1;no-mask;5,833097884435878;7,404121486910882;0,4860914226599422;0,6511476502063875;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;2;no-mask;7,03143544334915;7,251050147215706;0,7069177436189861;0,7849499926986502;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;2;no-mask;7,873624292872913;7,193172478519201;0,7593269087779471;0,8418221711084025;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;3;no-mask;9,298792440311038;7,575455223674112;1,1877592600495648;1,0438709743394001;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;3;no-mask;7,792840529627124;7,50178155249783;1,0520338279208232;0,9672512193846659;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;4;no-mask;7,975279413175657;7,233508143910276;0,7128564440982269;0,824106605566263;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W;4;no-mask;7,185923545263915;7,151540282603562;0,680292975189621;0,7999967971003205;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;0;no-mask;7,601845029096752;7,229547189491723;0,8742990180329874;0,8964044711254591;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;0;no-mask;11,16372785427577;7,336762812689607;1,6001738989038314;1,220667229192473;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;1;no-mask;5,274340718511136;7,051512052744738;0,44587688623040167;0,6074978299680607;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;1;no-mask;5,387681148054938;7,075377285868262;0,44424585837949976;0,6107514850819882;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;2;no-mask;7,042198951958823;7,055623165856977;0,6230515318573753;0,7352401050220155;TAT;durations
